,Label,intensidade,simetria
0,1,65.29019607843138,33.627450980392155
1,1,52.64705882352941,10.51764705882353
2,0,90.43529411764706,50.17254901960784
3,7,67.26274509803922,49.772549019607844
4,3,95.24705882352941,63.937254901960785
5,3,123.80392156862744,88.00784313725491
6,8,167.05490196078432,87.57254901960785
7,9,102.03529411764706,57.780392156862746
8,1,48.411764705882355,18.380392156862744
9,3,140.0392156862745,84.74117647058823
10,3,133.25882352941176,74.84705882352941
11,0,130.26666666666668,72.16078431372549
12,7,52.745098039215684,36.34117647058824
13,6,105.14117647058823,71.16470588235295
14,2,112.8313725490196,38.20392156862745
15,2,105.55294117647058,51.05882352941177
16,3,105.08627450980393,72.34117647058824
17,6,107.68627450980392,53.94509803921569
18,9,110.52156862745097,46.89411764705882
19,9,106.01176470588236,50.57254901960784
20,1,46.85490196078431,27.227450980392156
21,3,91.31764705882352,49.29803921568627
22,4,83.7843137254902,51.6
23,9,83.70196078431373,49.35294117647059
24,1,60.101960784313725,12.662745098039215
25,4,98.90980392156862,57.909803921568624
26,4,116.05098039215686,81.65882352941176
27,2,88.34117647058824,51.996078431372545
28,6,101.17647058823529,55.92156862745098
29,3,72.32941176470588,53.615686274509805
30,7,81.23137254901961,63.28235294117647
31,4,121.6,64.7921568627451
32,1,49.86274509803921,19.71764705882353
33,9,102.40392156862745,65.81960784313725
34,0,145.43529411764706,70.48627450980392
35,2,45.77647058823529,35.42745098039216
36,2,87.39607843137254,51.52549019607843
37,3,120.78039215686275,79.33333333333333
38,9,88.70588235294117,47.411764705882355
39,1,84.53725490196078,48.49411764705882
40,5,122.30588235294118,77.75686274509803
41,3,82.09411764705882,46.266666666666666
42,4,104.48235294117647,65.60392156862746
43,8,159.61176470588236,84.78823529411764
44,0,63.97254901960784,41.94509803921569
45,9,62.16470588235294,39.98039215686274
46,6,146.13725490196077,79.81176470588235
47,2,171.8235294117647,95.55686274509804
48,6,101.61176470588235,44.898039215686275
49,7,98.91764705882353,48.63529411764706
50,1,63.51764705882353,33.003921568627455
51,8,101.1686274509804,61.98039215686274
52,2,72.37254901960785,46.67058823529412
53,9,57.431372549019606,44.14901960784314
54,9,94.44313725490196,50.898039215686275
55,8,71.97647058823529,51.501960784313724
56,9,77.68627450980392,47.07450980392157
57,3,92.05882352941177,67.54901960784314
58,4,52.07058823529412,39.247058823529414
59,6,64.90196078431373,33.69019607843137
60,2,98.99215686274509,64.44705882352942
61,1,44.70196078431373,25.807843137254903
62,2,144.27843137254902,74.63921568627451
63,0,128.06666666666666,94.58039215686274
64,5,174.42745098039217,66.95686274509804
65,2,121.70196078431373,64.96862745098039
66,8,118.52549019607844,76.77254901960784
67,8,87.92941176470588,54.07450980392157
68,5,100.54509803921569,45.07843137254902
69,0,166.45490196078433,46.96470588235294
70,0,225.98039215686273,41.58039215686274
71,2,90.52156862745097,60.509803921568626
72,9,74.3529411764706,57.08627450980392
73,0,115.64313725490196,79.09411764705882
74,4,96.73725490196078,65.11372549019607
75,7,112.77254901960784,68.24313725490197
76,5,91.64313725490196,40.1921568627451
77,4,98.82745098039216,52.5843137254902
78,6,82.6470588235294,52.8235294117647
79,1,86.3921568627451,48.6078431372549
80,5,97.87843137254902,60.10980392156863
81,7,77.56078431372549,51.34901960784314
82,5,103.55686274509804,61.576470588235296
83,0,108.95686274509804,83.49019607843137
84,8,134.58039215686276,73.56862745098039
85,7,149.04313725490195,71.7607843137255
86,1,78.45098039215686,40.89411764705882
87,8,63.95294117647059,33.549019607843135
88,7,73.85098039215686,59.22352941176471
89,3,76.25098039215686,59.56078431372549
90,3,75.41568627450981,51.22352941176471
91,1,71.62352941176471,18.007843137254902
92,0,188.4392156862745,65.93333333333334
93,4,76.89803921568627,63.14901960784314
94,5,57.43921568627451,46.62352941176471
95,4,73.88627450980393,49.54509803921569
96,0,118.5764705882353,76.3529411764706
97,5,146.68235294117648,64.7607843137255
98,3,79.31372549019608,53.811764705882354
99,5,106.3921568627451,62.431372549019606
100,1,80.65490196078431,36.003921568627455
101,0,97.71372549019608,61.38039215686275
102,8,82.31764705882352,56.956862745098036
103,3,137.48627450980393,68.92941176470588
104,7,76.01176470588236,53.72549019607843
105,6,177.41960784313724,72.14509803921568
106,6,104.72156862745098,48.984313725490196
107,9,84.3529411764706,47.47450980392157
108,4,87.6470588235294,46.97254901960784
109,9,60.30980392156863,44.72941176470588
